id;Title;Principal Aim;Principal Aim 2;Proposes a model or method?;Author (citation APA);Country of the data;Publication Year;Journal Name;Type of Journal;N;Type of participant;Age;Sport;Sport_1;Gender;Category participants;Name of source data;Category classification;Type of model;Type of survival model/analysis;Details of the analysis;Kaplan-Meier;Cox;Logistic regression or rates;Log-rank;Tarone_test;Prentice_wilcoxon;Harrington–Fleming;Cox Random effects;MSM;GLM pseudo-obs;Random survival forest;Prametric model;Fine-Gray model;Aalen-Johansen;Competing-risks;Bayesian multilevel logistic regression;Any method;Type of paradigm;Statistical software;Macro/package;Data sharing;Code sharing;Purpose of the analysis;Identify dates or events;Circumstances data censored;Statistical methods rates;Assumptions of survival analysis;Give the estimated survival probability;Nº participants en risk;Plot cumulative ;Reporting median survival times;Results in a graph or table;Statistical methods compare curves;Report the P value;Regression model;Measure of risk;Additional information;Censoring type;Truncament;Random effects;Time dependent
23;Debridement and hinged motion distraction is superior to debridement alone in patients with ankle osteoarthritis: a prospective randomized controlled trial;To evaluate and compare complication rates and postoperative outcomes in patients with ankle debridement alone vs. debridement and hinged ankle distraction arthroplasty;.;N;Herrera-Perez, M., Alrashidi, Y., Galhoum, A. E., Kahn, T. L., Valderrabano, V., & Barg, A. (2019).;Spain;2019;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;50;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS and SigmaPlot;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;Yes;No;No;No;;Derecha;No;No;No
24;Determining the Time Required to Achieve Clinically Significant Outcomes on the PROMIS Upper Extremity Questionnaire After Arthroscopic Rotator Cuff Repair;To determine the time required to achieve the minimal clinically important difference (MCID), substantial clinical benefit (SCB), and Patient Acceptable Symptom State (PASS) score thresholds after RCR for the PROMIS-UE questionnaire;Identify patient factors associated with earlier or delayed achievement of these clinical benchmarks;N;Polce, E. M., Vadhera, A. S., Fu, M. C., Singh, H., Haunschild, E. D., Garrigues, G. E., Yanke, A. B., Forsythe, B., Cole, B. J., & Verma, N. N. (2023).;USA;2023;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;105;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;R;No;No;No;Yes;Yes;No;Yes;No;Partial;Yes;Yes;No;Yes;Yes;No;Yes;Yes;;Interval;No;No;No
25;Does Age Influence the Risk of Incident Knee Osteoarthritis After a Traumatic Anterior Cruciate Ligament Injury?;To identify whether an older adult population had an increased risk of incident radiographic knee OA after a traumatic knee injury compared with a young adult population;.;N;Johnson, V. L., Roe, J. P., Salmon, L. J., Pinczewski, L. A., & Hunter, D. J. (2016).;Australia;2016;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;215;Cases;Not reported;High-impact sports;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;No;;Derecha;No;No;No
26;Does lucency equate to revision? A five-year retrospective review of Attune and Triathlon total knee arthroplasty;To compare the incidence of radiolucent lines, survivorship and patient reported outcome-measures between the Attune® system and the well-established Triathlon® system;.;N;O'Donovan, P., McAleese, T., & Harty, J. (2023).;Ireland;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;730;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;Kaplan-Meier analysis with Log Rank method. Also a Kruskal-Wallis Test comparison;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
27;Double-bundle non-anatomic ACL revision reconstruction with allograft resulted in a low revision rate at 10 years;Reporting the long-term second revision rate and subjective clinical outcomes from a cohort of patients who underwent a double-bundle (DB) ACLR first revision with allograft at a single institution;.;N;Macchiarola, L., Pizza, N., Patania, V., Grassi, A., Dal Fabbro, G., Marcacci, M., & Zaffagnini, S. (2023).;Italy;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;81;Cases;>=18;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;MedCalc;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;NA;Yes;Yes;Partial;Partial;No;;Derecha;No;No;No
28;Early ACLR and Risk and Timing of Secondary Meniscal Injury Compared With Delayed ACLR or Nonoperative Treatment: A Time-to-Event Analysis Using Machine Learning;To compare risk and timing of secondary meniscal injury between patients receiving nonoperative management, delayed ACL reconstruction (ACLR), and early ACLR using a machine learning survival analysis;.;Y;Lu, Y., Jurgensmeier, K., Till, S. E., Reinholz, A., Saris, D. B. F., Camp, C. L., & Krych, A. J. (2022).;USA;2022;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;1663;Cases;<=40;Not sport;.;Both;Not sport;Rochester Epidemiology Project (REP);Health;Y;Kaplan-Meier;Machine learning survival analysis with random survival forest algorithms (machine learning);Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;OK;Frequentist;R;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
29;Effect of Graft Choice on Revision and Contralateral Anterior Cruciate Ligament Reconstruction: Results From the New Zealand ACL Registry;To clarify the association between graft choice and the risk of revision and contralateral ACL reconstruction;.;N;Rahardja, R., Zhu, M., Love, H., Clatworthy, M. G., Monk, A. P., & Young, S. W. (2020).;New Zealand;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;7155;Cases;Not reported;Not sport;.;Both;Not sport;New Zealand ACL Registry;Health;Y;Cox Regression;Cox Regression Survival Analysis;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;Yes;Yes;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
30;Effect of High Body Mass Index on Survivorship After Lateral Meniscal Allograft Transplantation: A Propensity Score Matching Analysis;To investigate the impact of preoperative body mass index (BMI) on the survivorship of lateral meniscal allograft transplantation (MAT);.;N;Lee, J., Bin, S. I., Kim, J. M., Lee, B. S., Jeon, T., Bae, K., & Kim, D. (2023).;Korea;2023;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;306;Cases;33.2;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;No;;Derecha;No;No;No
31;Effect of ICRS Lesion Grade on Graft Survival After Medial Meniscal Allograft Transplantation: MRI-Based Objective Evaluation;To investigate the prognostic factors and survival rate of allograft after medial MAT;.;N;Lee, S. J., Bin, S. I., Kim, J. M., Lee, B. S., Kim, S. M., & Lee, H. Y. (2022).;Korea;2022;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;78;Cases;34.96;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
32;Effect of Insurance Reimbursement Status on Pre- and Postoperative Patient-Reported Outcomes Measurement Information System (PROMIS) Scores After Arthroscopic Rotator Cuff Repair;To investigate the influence of insurance reimbursement status on patient-reported outcomes after arthroscopic rotator cuff repair;.;N;Anderson, D. E., Shaikh, H. J. F., Chait, A. R., Ramirez, G., Bronstein, R. D., Goldblatt, J. P., Giordano, B. D., Maloney, M. D., Nicandri, G. T., Voloshin, I., & Mannava, S. (2023).;USA;2023;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;1252;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Cox proportional hazards model;Mixed linear regression models and Cox proportional hazards model.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;No;Yes;Yes;No;No;Yes;No;Yes;Yes;No;Yes;No;;Derecha;No;No;No
33;Effect of Osteochondroplasty on Time to Reoperation After Arthroscopic Management of Femoroacetabular Impingement: Analysis of a Randomized Controlled Trial;To compare the effect of arthroscopic osteochondroplasty with or without labral repair versus arthroscopic lavage with or without labral repair on the time to reoperation in adults aged 18 to 50 years with FAI;.;N;Kay, J., Simunovic, N., Ayeni, O. R., FIRST Investigators, Bhandari, M., Bedi, A., Järvinen, T., Musahl, V., Naudie, D., Seppänen, M., Slobogean, G., Thabane, L., Duong, A., Skelly, M., Shanmugaraj, A., Crouch, S., Sprague, S., Heels-Ansdell, D., Buckingham, L., Ramsay, T., … Pirjetta Routapohja, M. (2022).;Canada, Denmark and Finland;2022;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;214;Cases;[18-50];Not sport;.;Both;Not sport;Multinational Femoroacetabular Impingement Randomized controlled Trial;Health;Y;Cox proportional hazards model;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SAS;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
34;Effect of Tibiofemoral Rotation Angle on Graft Failure After Anterior Cruciate Ligament Reconstruction;To evaluate whether increased tibiofemoral rotational malalignment, namely, tibiofemoral rotation angle (TFA) and tibial tubercle-trochlear groove (TT-TG) distance, is associated with graft failure after ACLR;.;N;Leite, C. B. G., Merkely, G., Farina, E. M., Smith, R., Görtz, S., Hazzard, S., Asnis, P., & Lattermann, C. (2023).;USA;2023;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;302;Cases;[13-59];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;Yes;No;Yes;;Derecha;No;No;No
35;Effectiveness of an 18-week general strength and foam-rolling intervention on running-related injuries in recreational runners;To evaluate effectiveness of an 18-week general strength and foam-rolling intervention on the incidence of running-related injuries;.;N;Desai, P., Jungmalm, J., Börjesson, M., Karlsson, J., & Grau, S. (2023).;Sweden;2023;SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS;Sports Medicine;433;Recreational runners;[21-55];Running;.;Both;Amateur;Gothenburg Half Marathon Association;Health;Y;Cox proportional hazards model;.;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;NA;Yes;Yes;Yes;No;Yes;;Derecha;No;No;No
36;Epidemiology of Ankle Sprains and the Risk of Separation From Service in US Army Soldiers;To report the incidence rate of ankle sprains in active-duty soldiers;To examine if soldiers who sustain ankle sprain injuries are more likely to leave the Army than those who do not sustain an ankle sprain;N;Bulathsinhala, L., Hill, O. T., Scofield, D. E., Haley, T. F., & Kardouni, J. R. (2015).;USA;2015;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;926324;Soldiers;>=17;Army;.;Both;Professional;US Army population;Health;Y;Cox proportional hazards model;Semi-parametric Cox proportional hazard model and Kaplan-Meier Curves;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SAS;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Partial;Yes;;Derecha;No;No;Yes
37;Excellent 10-year patient-reported outcomes and survival in a single-radius, cruciate-retaining total knee arthroplasty;To report the 10-year survival and patient-reported outcome of the Triathlon TKA in a single independent centre;.;N;Scott, C. E. H., Bell, K. R., Ng, R. T., MacDonald, D. J., Patton, J. T., & Burnett, R. (2019).;UK;2019;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;462;Cases;[21-89];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;Yes;No;NA;Yes;Yes;No;No;No;;Derecha;No;No;No
38;Favorable long-term clinical and radiologic outcomes with high survivorship after autologous osteochondral transplantation of the talus;To evaluate long-term clinical and radiologic outcomes of patients undergoing autologous osteochondral transplantation (AOT) for osteochondral lesions of the talus (OLT);To perform a correlation analysis between clinical and radiologic outcomes;N;Winkler, P. W., Geyer, S., Walzl, D., Woertler, K., Paul, J., Siebenlist, S., Imhoff, A. B., & Achtnich, A. (2023).;Germany;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;35;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;No;No;No;No;;Derecha;No;No;No
39;Femoral Neck Stress Fracture: Can MRI Grade Help Predict Return-to-Running Time?;To determine if the grade of femoral neck stress fractures based on magnetic resonance imaging (MRI) characteristics correlates with RTR time;.;N;Ramey, L. N., McInnis, K. C., & Palmer, W. E. (2016).;USA;2016;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;27;Cases;[18-51];Running;.;Both;Amateur;Not reported;Health;Y;Cox proportional hazards model;Cox proportional hazards model and Cox Regression;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;R;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
40;Fighting to the death: Does hockey fighting in the NHL affect players' longevity?;We sought to investigate if players' involvement in hockey fights throughout their career was associated with shorter life spans;.;N;Goldschmied, N., Lambrecht, J., Castro, A., & Langton, H. (2023);USA;2023;SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS;Sports Medicine;388;Hockey players;[68-90;Hockey;.;Male;Professional;National Hockey League;Sports Performance Analysis;Y;Kaplan-Meier;Kaplan-Meier survival analysis log-rank method and Cox regression;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;Yes;No;Yes;Yes;Partial;Yes;Yes;No;No;No;No;Yes;No;No;Yes;No;;Derecha;No;No;No
41;Foot Core Training to Prevent Running-Related Injuries: A Survival Analysis of a Single-Blind, Randomized Controlled Trial;To investigate the efficacy of a novel foot core strengthening protocol based on a ground-up approach to reduce the incidence of RRIs in recreational long-distance runners over the course of a 1-year follow-up;.;Y;Taddei, U. T., Matias, A. B., Duarte, M., & Sacco, I. C. N. (2020).;Brazil;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;118;Recreational Runners;[18-55];Running;.;Both;Amateur;NCT02306148 (ClinicalTrials.gov identifier);Health;Y;Kaplan-Meier;Kaplan-Meier with log-rank and cox regression analysis;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;Clinstat;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;NA;Yes;No;No;Yes;Yes;;Derecha;No;No;No
42;Gait retraining and incidence of medial tibial stress syndrome in army recruits;To examine the effect of a gait-retraining program on medial tibial stress syndrome incidence during a 26-wk basic military training regimen;.;N;Sharma, J., Weston, M., Batterham, A. M., & Spears, I. R. (2014).;UK;2014;MEDICINE AND SCIENCE IN SPORTS AND EXERCISE;Sports Medicine;450;Army Recruits;>=16;Army;.;Both;Professional;Not reported;Health;Y;Cox Regression;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS and STATA;No;No;No;Yes;Yes;No;Yes;Yes;Partial;No;Yes;NA;Yes;Yes;No;Yes;Yes;;Derecha;No;No;No
43;Good survivorship of all-polyethylene tibial component UKA at long-term follow-up;To determine the long-term survival rate of an all-polyethylene tibial unicompartmental knee arthroplasty (UKA) in a large series of consecutive patients and to investigate the possible factors that could influence the outcome;.;N;Bruni, D., Gagliardi, M., Akkawi, I., Raspugli, G. F., Bignozzi, S., Marko, T., Bragonzoni, L., Grassi, A., & Marcacci, M. (2016).;Italy;2016;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;273;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;N;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;NA;No;;Derecha;No;No;No
44;Hazard of Arm Injury in Professional Starting and Relief Pitchers;To investigate differences between professional baseball starting and relief pitchers in the hazard of arm injury and elbow and shoulder injury;.;N;Bullock, G. S., Thigpen, C. A., Collins, G. S., Arden, N. K., Noonan, T. K., Kissenberth, M. J., & Shanley, E. (2022).;USA;2022;JOURNAL OF ATHLETIC TRAINING;Sports Medicine;297;Pitchers;23;Baseball;.;Male;Professional;Minor League Baseball (MiLB);Sports Performance Analysis;Y;Cox proportional hazards model;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;R;Yes;No;No;Yes;Yes;No;Yes;Partial;Partial;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
45;Hermes patellofemoral arthroplasty: Annual revision rate and clinical results after two to 20?years of follow-up;To determine the revision rate of the Hermes™ (Ceraver) anatomical unconstrained PFA;.;N;Bohu, Y., Klouche, S., Sezer, H. B., Gerometta, A., Lefevre, N., & Herman, S. (2019).;France;2019;THE KNEE;Sports Medicine;64;Cases;[31.3-82.1];Not sport;.;Both;Not sport;Not reported;Health;N;Survival analysis;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;Yes;Yes;NA;No;;Derecha;No;No;No
46;High patient satisfaction with significant improvement in knee function and pain relief after mid-term follow-up in patients with isolated patellofemoral inlay arthroplasty;To prospectively evaluate the clinical and radiographic outcomes and survivorship at 2 and 5 years after isolated contemporary patellofemoral inlay arthroplasty;.;N;Imhoff, A. B., Feucht, M. J., Bartsch, E., Cotic, M., & Pogorzelski, J. (2019);Germany;2019;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;34;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;NA;Yes;NA;NA;No;No;;Derecha;No;No;No
47;High survival rate at mid-term follow up of porous tantalum cones for bone defects in revision total knee replacement: A 3-11 years follow up report;To evaluate outcomes, including complications and re-operations, radiographic assessment of cones osteointegration, and survivorship;.;N;Rossi, S. M. P., Perticarini, L., Ghiara, M., Jannelli, E., Cortesi, L., & Benazzo, F. (2022).;Italy;2022;THE KNEE;Sports Medicine;101;Cases;[52-80];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;MedCalc and Excel;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;NA;NA;No;No;;Derecha;No;No;No
48;Higher risk of contralateral anterior cruciate ligament (ACL) injury within 2 years after ACL reconstruction in under-18-year-old patients with steep tibial plateau slope;To assess the role of Tibial Plateau Slope (TPS) as risk factor for early Anterior Cruciate Ligament (ACL) reconstruction failure and contralateral ACL injury in a population of patients with less than 18 years of age and operated on with the same surgical technique;.;N;Grassi, A., Pizza, N., Zambon Bertoja, J., Macchiarola, L., Lucidi, G. A., Dal Fabbro, G., & Zaffagnini, S. (2021).;Italy;2021;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;94;Cases;<18;Not sport;.;Both;Not sport;Not reported;Health;Y;Multivariate analysis;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;MedCalc;No;No;No;Yes;Partial;No;Yes;No;Partial;No;Yes;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
49;How Long Does It Take to Achieve Clinically Significant Outcomes After Isolated Biceps Tenodesis?;To define the time-dependent nature of minimal clinically important difference (MCID), substantial clinical benefit (SCB), and Patient Acceptable Symptom State (PASS) achievement after isolated BT;.;N;Lu, Y., Agarwalla, A., Lavoie-Gagne, O., Patel, B. H., Beletsky, A., Nwachukwu, B. U., Verma, N. N., Cole, B. J., & Forsythe, B. (2022).;USA;2022;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;190;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;OK;Frequentist;R;No;No;No;Yes;Yes;Yes;Yes;No;Partial;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Interval;No;No;No
50;How much is enough in rehabilitation? High running workloads following lower limb muscle injury delay return to play but protect against subsequent injury;To examine the influence of rehabilitation training loads on return to play (RTP) time and subsequent injury in elite Australian footballers;.;N;Stares, J., Dawson, B., Peeling, P., Drew, M., Heasman, J., Rogalski, B., & Colby, M. (2018).;Australia;2018;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;Sports Medicine;85;Australian football players;Not reported;Australian football;.;Male;Professional;Not reported;Sports Performance Analysis;N;Survival analysis;.;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;Partial;Yes;Yes;No;No;No;Yes;Yes;No;No;NA;Yes;;Derecha;No;Yes;No
51;Hyaluronic scaffold transplantation with bone marrow concentrate for the treatment of osteochondral lesions of the talus: durable results up to a minimum of 10 years;To evaluate the long-term clinical results of the transplantation of a hyaluronic acid membrane augmented with bone marrow aspirate concentrate (BMAC) in an one-step technique for the treatment of patients affected by osteochondral lesions of the talus (OLT);.;N;Vannini, F., Berveglieri, L., Boffa, A., Filardo, G., Viglione, V., Buda, R., Giannini, S., & Faldini, C. (2023).;Italy;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;101;Cases;32.9;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;Yes;No;Yes;Yes;No;Yes;Yes;Partial;No;No;NA;Yes;NA;NA;No;No;;Derecha;No;No;No
52;Incidence of and Factors Associated With the Decision to Undergo Anterior Cruciate Ligament Reconstruction 1 to 10 Years After Injury;To define the rate of delayed ACL reconstruction (between 1 and 10 years after injury) in a population-based cohort of isolated ACL tears;To evaluate predictive factors associated with delayed reconstruction;N;Sanders, T. L., Maradit Kremers, H., Bryan, A. J., Kremers, W. K., Levy, B. A., Dahm, D. L., Stuart, M. J., & Krych, A. J. (2016).;USA;2016;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;1841;Cases;[17-55];Not sport;.;Both;Not sport;Rochester Epidemiology Project (REP);Health;Y;Cox proportional hazards model;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
53;Increased risk of reoperation and failure to attain clinically relevant improvement following autologous chondrocyte implantation of the knee in female patients and individuals with previous surgeries: a time-to-event analysis based on the German cartilage registry (KnorpelRegister DGOU);To analyze the risk of reoperation following autologous chondrocyte implantation (ACI) of the knee utilizing third-generation ACI products in a time-to-event analysis;Report on the associated patient-reported outcome measures (PROM) in case of reoperation;N;Bumberger, A., Rupp, M. C., Lattermann, C., Kleiner, A., & Niemeyer, P. (2023).;Germany;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;2039;Cases;Not reported;Not sport;.;Both;Not sport;German Cartilage Registry (KnorpelRegister DGOU);Health;Y;Cox proportional hazards model;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Prism 9 (GraphPad Software);Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
54;Increases in physical activity is as important as smoking cessation for reduction in total mortality in elderly men: 12?years of follow-up of the Oslo II study;Determine the relationships between PA, smoking and 12-year CV, non-CV and all-cause mortality in elderly Oslo men;.;N;Holme, I., & Anderssen, S. A. (2015);Norway;2015;BRITISH JOURNAL OF SPORTS MEDICINE;Sports Medicine;14846;Older patients;[68-77];PA;.;Male;Amateur;Not reported;Health;Y;Cox regression models;Cox regression modelling of mortality endpoints;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;OK;Frequentist;Not reported;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Partial;No;No;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;Yes
55;Increasing age and female gender are associated with early knee replacement following arthroscopy;To explore factors that may be associated with increased risk of early replacement, as early knee replacement following arthroscopy may be perceived as a failure of the original treatment and thus a poor use of resources;.;N;Jameson, S. S., Rushton, S. P., Dowen, D., Baker, P., James, P., Reed, M. R., & Deehan, D. (2014).;UK;2014;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;20556;Cases;[18-96];Not sport;.;Both;Not sport;National Health Service (NHS);Health;Y;Mixed effect modelling;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;R;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Partial;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;Yes;Yes
56;Influence of Varus Alignment on Survivorship After Lateral Meniscal Allograft Transplantation;To assess whether varus alignment of the knee is associated with improved graft survival and clinical outcomes following lateral meniscal allograft transplantation (MAT) compared to cases with normal alignment;.;N;Song, J. H., Bin, S. I., Kim, J. M., Lee, B. S., & Lee, C. R. (2020).;Korea;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;190;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;Kaplan-Meier and Cox regression;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
